gender,age,tenure,monthlycharges,paymentmethod,industry
1,55.0,36.0,18.55,3,2
1,57.0,44.0,87.5,1,0
1,63.0,37.00000004680341,53.39999896974363,2,1
1,60.0,51.0,44.45,3,2
1,27.0,10.0,31.7,8,1
1,65.0,33.0,99.82,8,0
1,46.0,35.0,49.93,2,1
1,27.0,41.0,115.31,9,0
0,67.0,33.0,63.18,4,0
0,54.0,50.0,20.15,3,2
1,60.0,58.0,20.37,1,0
1,45.0,52.0,57.07,2,1
1,49.0,16.0,18.95,3,2
0,22.0,13.00000076211133,36.03999951004156,2,1
0,30.0,42.0,56.85,8,0
1,28.0,30.0,61.05,9,0
1,21.0,40.0,86.06,9,0
0,56.0,1.0,70.1,5,2
0,57.0,53.99999945870054,55.7699995213616,8,1
0,59.0,55.0,53.32,4,1
1,57.0,4.0,55.9,5,2
1,45.0,27.0,116.07,8,0
1,51.0,31.0,78.45,5,2
0,64.0,57.0,19.75,0,2
0,44.0,65.0,89.85,5,2
0,67.0,13.0,80.0,3,2
0,35.0,47.00000129416255,45.84999903403439,8,1
0,33.0,30.0,68.95,3,2
0,25.0,50.0,56.91,8,1
1,21.0,47.0,73.6,5,2
1,31.0,2.0,19.65,6,2
1,58.0,42.0,38.82,2,1
0,68.0,1.0,74.9,5,2
1,61.0,7.0,47.55,2,0
0,65.0,8.0,87.05,5,2
1,39.0,43.0,19.55,6,2
0,22.0,43.0,50.2,6,2
1,32.0,18.0,94.7,5,2
1,57.0,46.0,20.05,0,2
0,36.0,38.0,56.3,7,0
0,27.0,69.0,113.25,3,2
1,28.0,26.000000755877334,51.58000073349272,8,1
0,58.0,49.0,52.3,2,0
1,50.0,20.0,47.97,8,0
1,41.0,10.0,75.3,5,2
0,58.0,10.000002488627613,40.310001482827296,2,1
0,20.0,39.0,25.57,4,0
1,50.0,49.0,55.35,5,2
1,18.0,1.0,101.3,9,0
1,65.0,67.0,64.55,0,2
1,69.0,68.0,58.11,1,0
0,42.0,66.0,76.72,1,0
1,32.0,2.0,72.6,6,2
0,41.0,15.0,51.9,4,1
1,60.0,30.99999905515241,58.58000004905126,4,1
0,33.0,3.0,64.6,5,2
0,21.0,28.999999665750135,44.75000015905723,2,1
0,42.0,46.0,100.25,5,2
0,48.0,54.0,56.24,4,1
1,22.0,9.0,38.37,2,1
1,64.0,22.0,45.13,8,1
0,39.0,1.0,46.72,8,1
1,64.0,38.0,47.56,4,1
0,48.0,19.0,46.69,1,0
1,40.0,35.0,49.2,5,2
0,67.0,6.000000083471338,43.989999273074254,8,1
0,52.0,62.0,70.75,0,2
0,27.0,8.0,54.25,0,2
0,68.0,39.0,52.33,8,1
0,52.0,40.0,46.3,4,1
0,69.0,51.0,20.65,0,2
0,53.0,48.0,71.9,2,0
0,36.0,34.0,37.39,2,1
0,20.0,29.0,111.57,8,0
1,64.0,39.0,41.26,4,1
1,31.0,8.0,36.05,7,0
0,53.0,10.0,26.1,3,2
0,30.0,23.0,88.45,0,2
1,44.0,6.0000006967675725,40.10999976970083,2,1
0,21.0,25.0,62.67,2,0
1,65.0,72.0,25.85,3,2
0,41.0,68.0,20.05,0,2
1,21.0,56.999999030501165,53.87999956979682,2,1
1,29.0,1.0,19.65,6,2
1,42.0,40.0,48.15,8,1
1,64.0,54.0,38.81,8,1
1,63.0,8.0,39.9,4,1
0,36.0,3.0,52.79,8,1
0,21.0,9.0,72.16,2,0
1,66.0,18.0,38.3,4,1
0,68.0,49.0,81.37,2,0
0,30.0,8.0,95.65,0,2
1,21.0,16.99999945301284,42.180000194819556,2,1
1,35.0,40.0,64.68,4,1
1,48.0,68.0,98.42,9,0
0,35.0,52.00000076636261,62.089999697154255,4,1
1,32.0,34.0,105.35,5,2
1,26.0,37.0,58.75,6,2
0,46.0,43.99999911991468,53.58000045442603,8,1
1,69.0,12.0,52.42,8,1
0,68.0,32.00000008890373,56.069998615317004,2,1
1,41.0,24.0,69.33,7,0
0,64.0,47.0,117.68,1,0
1,26.0,1.0,36.1,4,1
0,53.0,44.0,108.32,9,0
1,47.0,72.0,64.8,3,2
0,55.0,58.0,109.86,2,0
0,64.0,57.999997395840666,43.83000083342632,8,1
0,58.0,40.0,114.95,1,0
0,40.0,1.0,45.95,6,2
0,27.0,15.0,25.25,5,2
0,55.0,25.0,18.7,6,2
0,39.0,3.0,88.3,6,2
1,60.0,35.0,57.0,8,1
1,27.0,10.0,51.65,6,2
0,30.0,56.0,108.63,1,0
1,42.0,37.0,59.38,8,1
0,48.0,18.0,25.3,3,2
0,60.0,56.999997941987075,61.22000054887054,2,1
0,53.0,69.0,70.91,8,0
0,38.0,65.0,106.25,5,2
1,66.0,48.0,99.0,5,2
0,62.0,48.0,36.27,8,0
0,63.0,20.0,56.98,4,1
0,64.0,27.0,41.91,2,1
0,21.0,2.0,36.34,4,0
1,19.0,4.0,79.13,8,0
0,32.0,53.0,75.41,9,0
1,53.0,27.0,19.85,3,2
0,44.0,5.0,112.37,8,0
1,50.0,31.0,118.8,1,0
1,43.0,37.0,44.32,4,1
0,40.0,54.0,44.67,2,1
0,24.0,25.0,51.29,4,1
0,25.0,59.0,48.93,2,1
1,29.0,67.0,69.2,3,2
1,54.0,34.00000078692477,46.08000144779401,8,1
1,32.0,9.0,28.86,4,1
1,38.0,71.0,85.45,3,2
1,27.0,7.000001600380891,28.06999839660767,8,1
1,27.0,33.0,52.03,4,1
1,41.0,37.0,35.88,4,1
1,34.0,11.999999422773795,30.52000203150394,2,1
1,30.0,47.0,46.63,4,1
1,65.0,19.999998896468924,29.450000152792313,2,1
1,43.0,32.0,27.19,2,0
1,20.0,28.000000194831063,44.98999984179589,4,1
1,64.0,26.00000065710078,34.34999982403491,4,1
0,30.0,5.0,64.0,5,2
1,24.0,10.0,37.52,8,1
1,24.0,33.0,52.14,4,1
1,44.0,32.0,42.85,8,1
0,46.0,49.0,63.06,7,0
1,22.0,3.0,79.9,5,2
1,56.0,32.0,49.2,2,1
1,24.0,44.0,90.65,0,2
0,60.0,14.0,50.45,5,2
0,34.0,46.0,43.95,5,2
0,46.0,4.0,20.15,3,2
1,24.0,61.0,117.84,4,0
1,32.0,12.0,38.45,8,1
0,61.0,1.0,76.0,5,2
0,27.0,26.0,37.19,8,1
1,42.0,56.0,111.07,1,0
0,24.0,72.0,53.8,3,2
0,32.0,63.0,52.77,2,0
0,24.0,58.0,43.07,7,0
1,28.0,34.0,35.6,8,0
0,30.0,23.0,27.29,4,0
0,70.0,69.0,116.53,9,0
1,42.0,62.0,43.7,0,2
1,44.0,2.0,35.14,2,1
1,49.0,4.0,25.2,0,2
0,62.0,30.0,42.71,4,1
1,36.0,1.0,19.55,6,2
0,39.0,10.0,95.73,7,0
1,20.0,13.0,89.05,0,2
0,21.0,32.000000144382426,51.200001146499424,4,1
0,22.0,58.99999990512854,57.519999322134304,8,1
1,38.0,47.99999930598942,67.0300009178192,4,1
1,23.0,11.0,45.2,3,2
0,47.0,58.00000012812312,57.13000003271211,2,1
1,30.0,6.0,47.69,4,1
1,62.0,48.0,58.24,7,0
0,35.0,36.0,49.84,7,0
1,59.0,15.0,103.45,5,2
1,54.0,34.0,47.53,2,0
1,20.0,52.0,71.63,2,0
0,45.0,31.0,38.59,2,0
0,42.0,64.0,37.62,9,0
0,28.0,63.0,109.12,2,0
1,22.0,16.0,72.55,2,0
1,43.0,36.0,38.41,4,1
1,43.0,41.0,81.33,1,0
1,38.0,55.0,85.03,8,0
0,24.0,2.0,19.6,5,2
1,58.0,56.0,97.52,9,0
0,52.0,31.0,80.55,0,2
0,43.0,48.0,54.09,8,1
0,55.0,42.0,58.0,4,0
0,33.0,69.0,76.67,7,0
0,46.0,25.0,78.84,2,0
0,34.0,64.0,28.45,4,0
1,55.0,60.0,103.28,4,0
0,40.0,61.0,53.1,7,0
0,38.0,56.0,48.26,4,1
1,67.0,33.0,45.36,2,1
0,27.0,60.0,81.16,8,0
0,52.0,44.0,109.24,4,0
0,28.0,22.0,80.33,7,0
1,69.0,59.000000521297636,56.72000076798446,4,1
0,68.0,68.0,96.55,3,2
0,26.0,59.0,59.44,4,0
1,31.0,54.0,47.79,2,1
0,32.0,46.0,55.0,0,2
0,22.0,72.0,108.05,3,2
0,35.0,64.0,63.01,4,0
0,45.0,68.0,42.47,8,0
0,59.0,37.0,73.54,9,0
0,44.0,16.0,35.5,3,2
0,64.0,14.0000002963464,31.09000073842595,4,1
1,61.0,9.0,51.39,8,1
1,35.0,6.0,71.63,1,0
0,29.0,26.0,53.7,8,1
0,21.0,30.0,107.5,5,2
1,30.0,34.0,55.55,8,0
0,40.0,31.0,57.06,2,1
1,46.0,56.0,54.86,8,1
0,35.0,54.0,57.79,2,1
1,42.0,38.0,57.16,9,0
1,41.0,40.0,96.11,9,0
0,66.0,51.0,28.65,4,0
0,68.0,25.0,42.15,2,1
0,23.0,22.0,53.39,8,1
1,38.0,1.0,41.48,4,1
0,54.0,40.0,21.99,1,0
0,66.0,35.0,43.96,7,0
0,33.0,67.0,105.4,3,2
0,34.0,33.0,70.59,8,0
1,58.0,33.00000112641827,51.350000225585255,8,1
0,35.0,17.0,89.15,5,2
1,37.0,5.0,46.34,4,1
1,62.0,51.0,56.49,2,1
1,52.0,40.0,63.67,1,0
0,70.0,11.0,99.5,5,2
0,63.0,21.0,91.84,8,0
0,57.0,38.0,112.31,4,0
0,21.0,3.0,80.3,5,2
0,18.0,20.0,35.48,7,0
1,47.0,8.0,47.91,4,1
0,24.0,7.0,20.65,6,2
1,27.0,1.0,35.9,5,2
0,57.0,41.0,28.79,9,0
0,50.0,12.0,48.23,4,1
1,53.0,19.0,29.59,8,0
0,70.0,1.0,46.39,4,1
1,60.0,19.0,53.54,7,0
1,36.0,61.0,94.24,7,0
0,40.0,43.0,109.07,8,0
1,40.0,59.0,106.75,5,2
1,67.0,56.0,60.5,4,1
0,49.0,6.0,116.88,7,0
1,33.0,8.0,44.73,2,1
0,64.0,22.0,30.24,4,0
1,58.0,58.0,71.6,3,2
0,34.0,10.0,29.6,6,2
0,27.0,26.0,44.45,3,2
1,33.0,1.0,20.55,5,2
0,40.0,33.0,39.34,2,1
0,51.0,30.999999769932078,33.89999905542608,2,1
0,48.0,32.0,74.75,6,2
1,25.0,10.0,44.82,4,1
1,52.0,31.0,25.0,3,2
1,27.0,3.0,45.35,5,2
0,35.0,41.0,94.9,0,2
0,25.0,58.0,60.25,2,1
0,60.0,57.0,57.13,8,1
0,22.0,36.0,44.55,2,1
1,61.0,39.0,59.8,5,2
1,37.0,26.0,20.9,6,2
0,35.0,3.0,74.4,0,2
1,51.0,9.0,79.35,0,2
0,41.0,44.0,96.1,5,2
0,30.0,61.0,89.45,8,0
0,45.0,3.0,70.4,5,2
0,54.0,62.0,67.58,9,0
1,33.0,70.0,115.65,3,2
1,40.0,72.0,114.95,0,2
0,38.0,13.0,45.54,8,1
0,59.0,71.0,24.65,0,2
0,37.0,58.0,107.75,5,2
0,51.0,41.0,50.08,2,1
1,62.0,18.0,96.15,4,0
1,43.0,19.999999397141856,34.30999918690177,8,1
0,63.0,48.0,58.17,4,1
1,54.0,16.0,72.57,2,0
0,65.0,51.0,53.4,2,1
1,62.0,47.00000083847412,44.439999969185926,2,1
1,48.0,33.0,41.23,2,1
1,33.0,3.0,55.9,6,2
1,46.0,54.0,44.47,4,1
1,40.0,1.0,117.04,7,0
1,48.0,50.0000006926353,59.640000753544236,4,1
1,27.0,52.0,93.19,2,0
1,26.0,6.0,42.25,8,1
1,68.0,51.0,83.59,4,0
1,45.0,6.0,59.45,5,2
0,67.0,15.0,50.62,7,0
0,31.0,53.0,47.18,2,1
1,23.0,2.0,24.3,6,2
0,67.0,49.0,52.33,4,1
0,25.0,25.0,28.47,8,0
1,50.0,72.0,73.45,3,2
1,63.0,38.000000265446516,60.38999895239064,8,1
0,55.0,50.00000000922073,56.910000747863194,8,1
0,40.0,57.99999994958259,62.93000001666562,4,1
0,60.0,23.0,28.85,7,0
1,55.0,45.0,43.06,8,1
0,33.0,59.0000002930369,55.15999915770782,8,1
0,24.0,34.0,88.5,8,0
0,59.0,33.0,103.75,5,2
0,59.0,2.0,20.05,6,2
0,42.0,17.999999906061856,43.55000162963612,8,1
1,68.0,28.0,97.32,8,0
1,37.0,3.0,41.36,4,1
1,66.0,10.0,44.95,4,0
1,31.0,34.99999931419116,52.44000035906472,2,1
1,47.0,20.0,94.55,5,2
1,67.0,1.0,77.32,8,0
1,24.0,56.0,94.8,3,2
1,28.0,50.0,112.27,1,0
1,31.0,52.0,80.76,4,0
1,55.0,39.0,48.46,8,1
0,61.0,35.0,40.9,6,2
1,64.0,12.0,86.77,8,0
0,38.0,25.999999667828394,56.80000152140537,2,1
0,46.0,8.0,32.2,8,1
0,49.0,68.0,25.68,4,0
0,29.0,58.0,24.62,8,0
1,31.0,40.0,43.48,8,1
1,22.0,19.0,32.59,2,1
1,41.0,46.0,75.83,1,0
1,43.0,20.0,56.37,4,1
0,69.0,1.0,26.4,8,1
1,56.0,66.0,81.71,9,0
1,69.0,22.99999831634321,43.39999919627009,4,1
1,68.0,64.0,81.79,9,0
0,64.0,21.0,23.52,7,0
1,46.0,43.0,62.79,8,0
0,45.0,65.0,58.9,3,2
1,66.0,1.0,31.35,6,2
1,66.0,68.0,101.62,2,0
1,19.0,63.0,72.15,9,0
1,32.0,10.999998889385822,32.700000632868615,2,1
0,54.0,58.0,56.11,2,1
0,51.0,48.0,20.0,6,2
0,28.0,23.0,24.13,1,0
0,34.0,43.0,83.46,4,0
1,59.0,29.0,34.38,4,1
1,24.0,6.0,45.67,2,1
0,23.0,72.0,64.45,0,2
0,65.0,4.0,74.9,5,2
0,68.0,61.0,43.7,3,2
1,57.0,72.0,114.5,6,2
1,44.0,1.0,69.9,5,2
0,20.0,42.0,40.87,4,1
1,56.0,26.99999848936282,57.2399994892985,2,1
0,23.0,1.0,39.55,2,0
1,30.0,48.0,104.25,1,0
1,22.0,37.0,47.51,4,1
0,66.0,12.0,36.88,2,1
0,32.0,60.0,51.16,8,0
1,70.0,67.0,24.0,8,0
0,23.0,4.0,71.29,7,0
0,41.0,64.0,68.76,8,0
0,53.0,10.0,65.59,1,0
0,20.0,66.0,68.8,8,0
0,66.0,14.0,38.47,4,1
0,48.0,42.0,44.13,8,1
0,47.0,41.999999553867596,47.269998437121444,4,1
1,51.0,42.0,61.56,4,1
1,28.0,46.0,79.55,1,0
0,29.0,45.0,41.09,2,1
0,36.0,39.00000034411107,41.019999154297885,2,1
1,62.0,48.0,52.35,7,0
0,37.0,51.0,79.15,0,2
1,66.0,32.0,93.4,3,2
1,54.0,40.0,36.78,8,1
1,65.0,47.0,47.23,2,1
0,51.0,40.0,19.65,3,2
0,44.0,38.0,37.64,9,0
1,64.0,28.000000755674648,55.810000199768886,2,1
0,41.0,37.0,111.69,9,0
0,43.0,61.0,102.0,4,0
1,61.0,26.0,107.01,2,0
0,50.0,14.0,32.41,4,1
1,51.0,35.0,81.6,0,2
0,55.0,7.0,19.9,6,2
0,26.0,38.9999999466336,54.96999968663755,8,1
0,66.0,42.0,105.01,2,0
0,58.0,43.999998901274196,54.759999274582626,8,1
1,65.0,44.0,54.28,4,1
1,32.0,18.0,87.21,7,0
1,45.0,18.0,46.2,4,1
1,41.0,45.0,24.7,3,2
1,42.0,9.000001753649368,38.32000084520143,4,1
1,22.0,36.0,33.07,4,1
1,27.0,4.999998095899059,36.149999369429615,2,1
1,43.0,38.0,43.44,4,1
1,25.0,25.0,29.25,1,0
1,63.0,72.0,102.65,3,2
0,47.0,67.0,53.98,9,0
0,56.0,52.0,28.65,1,0
0,26.0,28.0,33.47,4,1
0,31.0,1.0,70.2,5,2
0,64.0,19.0,43.52,4,1
0,21.0,41.0,39.09,4,1
0,63.0,45.000000230958605,40.130000050230265,2,1
0,48.0,29.0,51.24,1,0
1,40.0,48.000000648678444,63.29000090010564,4,1
0,66.0,66.0,59.75,5,2
1,27.0,9.0,52.2,1,0
1,34.0,64.0,104.4,0,2
1,61.0,62.0,40.17,2,0
1,56.0,55.0,48.76,8,1
1,23.0,12.0,58.77,7,0
0,66.0,19.0,31.19,8,1
0,61.0,13.0,34.43,9,0
0,50.0,30.0,115.1,8,0
0,62.0,42.0,27.02,4,0
1,22.0,49.0,50.88,8,1
1,23.0,1.0,84.16,1,0
1,36.0,52.0,85.15,6,2
1,58.0,1.0,85.27,2,0
1,25.0,42.0,84.72,9,0
0,26.0,18.0,73.55,5,2
0,30.0,48.0,48.61,8,0
0,34.0,9.0,39.1,4,1
1,40.0,9.999999184479366,36.170001146570755,4,1
0,44.0,37.0000014641385,38.77999905644244,2,1
0,58.0,1.0,50.45,6,2
1,24.0,3.0,43.49,4,1
0,24.0,2.0,105.56,7,0
0,24.0,71.0,89.3,3,2
0,66.0,29.0,59.0,2,0
1,30.0,42.0,48.92,7,0
1,60.0,10.0,57.95,9,0
1,22.0,24.000001236550478,31.529997505376354,8,1
1,63.0,12.0,96.47,4,0
0,62.0,15.0,85.9,0,2
1,46.0,8.0,88.34,2,0
1,68.0,1.0,69.5,0,2
0,61.0,15.0,32.15,2,1
0,68.0,47.0,84.77,9,0
0,58.0,70.0,89.0,0,2
0,62.0,16.0,65.41,8,0
1,58.0,32.0,49.66,4,1
1,23.0,15.0,47.64,2,1
1,55.0,4.0,78.45,5,2
0,31.0,45.0,116.85,9,0
0,24.0,6.0,51.45,8,1
1,52.0,44.0,76.83,9,0
0,61.0,16.0,56.82,4,1
1,22.0,20.0,57.57,9,0
1,25.0,6.999998784520772,38.17000063895759,2,1
0,60.0,22.0,89.25,5,2
0,61.0,10.0,28.38,8,1
0,39.0,41.0,25.81,8,0
0,44.0,22.0,52.9,2,1
0,22.0,33.0,40.22,2,1
0,43.0,66.0,20.76,7,0
1,45.0,7.999999052667755,44.73000117974243,2,1
1,46.0,4.999999681623912,25.53000115545788,8,1
0,59.0,34.00000043688734,39.40999840895962,2,1
1,25.0,58.99999989100756,55.749998002443206,4,1
1,67.0,23.0,19.3,3,2
0,49.0,20.0,72.65,4,0
1,36.0,6.0,95.75,5,2
1,31.0,54.0,48.37,2,1
0,41.0,62.0,72.0,3,2
0,55.0,42.0,20.75,0,2
1,28.0,31.0,93.8,5,2
1,28.0,5.0,38.95,2,1
0,43.0,64.0,72.19,4,0
1,65.0,18.0,101.3,3,2
0,70.0,14.0,109.58,9,0
0,63.0,23.999999533570676,31.400000686070367,4,1
0,67.0,59.0,61.7,8,1
0,66.0,12.0,114.85,1,0
1,51.0,41.0,99.88,1,0
0,54.0,47.999999036081476,41.58000019934299,2,1
1,39.0,57.0,63.56,4,1
1,23.0,13.0,40.5,8,1
0,59.0,46.0,55.62,2,1
1,33.0,1.0,20.05,6,2
0,26.0,20.0,55.25,2,1
0,52.0,55.0,43.87,4,1
1,38.0,22.999999251914325,52.73000037815708,2,1
1,18.0,57.0,35.92,7,0
1,61.0,29.0,43.31,8,1
1,47.0,8.000000068316096,30.140001214351518,4,1
0,53.0,29.0,50.76,4,1
0,48.0,63.0,36.46,1,0
1,50.0,18.0,84.3,0,2
1,45.0,6.0,19.65,6,2
1,57.0,55.0,64.85,1,0
0,21.0,63.0,37.3,4,0
0,65.0,4.0,90.8,8,0
1,45.0,20.00000086671215,48.33999785471267,4,1
1,24.0,14.0,68.08,8,0
1,63.0,38.0,36.29,4,1
1,69.0,51.99999946580588,61.88999974675843,8,1
0,29.0,25.0,32.61,4,1
0,45.0,35.0,86.45,5,2
0,37.0,1.0,70.15,6,2
1,35.0,2.0,43.63,8,1
0,60.0,62.0,81.06,4,0
0,23.0,15.0,82.79,4,0
0,31.0,62.0,96.1,3,2
0,31.0,24.0,81.73,7,0
0,54.0,44.0,62.01,2,0
1,63.0,45.000000662826686,47.790000809947784,4,1
0,67.0,50.0,55.72,8,1
0,58.0,72.0,95.1,5,2
0,67.0,20.0,47.04,7,0
1,24.0,49.0,59.44,8,1
0,61.0,38.0000008443932,56.110000677166504,2,1
1,70.0,21.0,46.31,4,1
1,46.0,50.99999991213852,63.40999921335105,8,1
1,67.0,23.0,34.29,8,1
1,18.0,55.0,117.47,2,0
0,64.0,12.0,47.15,8,1
1,63.0,54.0,63.86,8,1
0,54.0,29.0,48.35,8,1
0,36.0,45.0,93.24,2,0
0,45.0,0.9999982559765953,41.04999798107723,4,1
1,20.0,53.0,62.85,3,2
1,21.0,69.0,93.77,8,0
1,56.0,23.0,47.52,4,0
0,39.0,40.0,54.55,0,2
0,57.0,14.0,32.57,2,1
0,64.0,7.0,104.09,9,0
1,25.0,59.0,68.62,4,1
1,20.0,48.0,56.8,4,1
0,24.0,1.0,100.25,3,2
1,61.0,8.0,42.91,4,1
0,60.0,12.0,94.2,5,2
1,58.0,19.0,66.82,7,0
0,31.0,66.0,43.06,9,0
1,55.0,32.0,70.5,6,2
1,22.0,56.0,88.41,8,0
0,70.0,53.0,89.15,4,0
0,58.0,35.0,64.15,8,1
0,70.0,1.0,30.26,8,1
1,64.0,1.0,38.63,2,1
1,61.0,49.0,33.83,4,0
0,35.0,56.99999950435349,64.31999933503576,8,1
0,55.0,21.0,35.45,4,1
1,38.0,31.0,30.5,2,0
1,53.0,24.0,35.61,2,1
0,52.0,60.0,42.67,1,0
1,30.0,28.0,100.2,5,2
1,36.0,64.0,81.05,5,2
1,40.0,5.0,49.26,4,1
1,70.0,32.0,78.9,5,2
1,25.0,53.0,72.42,2,0
0,59.0,55.0,76.05,7,0
1,30.0,58.00000010145832,52.60000114238139,4,1
0,51.0,1.0,50.15,5,2
1,49.0,46.0,86.34,2,0
1,28.0,53.9999992778642,65.46999972008543,2,1
0,50.0,2.0,84.66,2,0
0,44.0,1.0,51.3,2,0
1,50.0,2.0,44.7,5,2
1,65.0,56.0,36.1,3,2
1,57.0,44.0,112.42,9,0
1,63.0,5.0,71.45,6,2
0,70.0,32.0,94.1,2,0
0,52.0,13.0,34.59,1,0
1,44.0,2.0,44.65,6,2
1,66.0,58.0,40.25,2,1
1,38.0,4.0,35.26,2,1
1,66.0,28.0,96.6,3,2
0,34.0,32.0,58.54,8,1
0,38.0,21.99999990991174,45.03000009600074,2,1
1,24.0,60.0,89.55,5,2
1,20.0,31.0,40.99,8,1
1,62.0,52.0,48.16,4,0
0,59.0,57.0,65.2,0,2
1,62.0,4.0,42.4,6,2
1,68.0,1.0,20.2,6,2
0,59.0,25.0,50.91,4,1
1,68.0,22.0,22.37,1,0
0,30.0,34.0,48.52,8,1
0,51.0,6.0,89.35,5,2
0,62.0,53.0,60.23,4,1
1,70.0,21.0,24.7,6,2
0,57.0,53.0,61.74,4,1
0,30.0,56.0,68.45,3,2
1,67.0,46.0,45.2,1,0
1,31.0,2.0,101.54,4,0
1,23.0,10.0,52.53,8,0
1,32.0,1.0,19.2,6,2
1,63.0,13.999998469019495,52.030000362677676,4,1
0,50.0,52.0,74.0,3,2
0,69.0,24.0,54.15,3,2
1,20.0,1.0,34.93,8,1
1,55.0,23.0,99.85,5,2
0,40.0,13.0,57.15,4,0
1,22.0,8.0,75.0,6,2
1,28.0,11.0,39.67,4,1
0,66.0,11.0,38.49,2,1
0,45.0,48.000000064193436,67.46999828281035,8,1
0,52.0,6.0,50.95,3,2
0,54.0,58.0,110.66,8,0
0,24.0,61.0,89.26,7,0
1,27.0,33.0,44.85,4,1
0,25.0,72.0,108.5,0,2
1,49.0,2.0,55.3,5,2
0,25.0,36.0,39.39,2,1
1,58.0,52.0,59.73,8,1
1,68.0,51.0,67.81,4,1
1,53.0,72.0,81.0,3,2
0,41.0,27.0,88.3,3,2
1,42.0,54.0,63.22,8,1
0,45.0,41.0,106.29,9,0
1,62.0,30.0,72.98,9,0
1,23.0,54.0,55.61,4,1
0,52.0,62.0,43.6,3,2
1,45.0,12.0,46.07,2,1
0,20.0,30.0,103.6,9,0
1,26.0,10.0,79.85,5,2
1,61.0,35.0,19.25,6,2
0,24.0,18.0,32.41,2,1
0,54.0,56.0,106.8,5,2
1,37.0,48.00000194300325,54.91000108474799,4,1
1,20.0,37.0,99.91,8,0
1,54.0,6.0,44.46,4,1
0,52.0,59.0,44.66,2,1
0,40.0,1.0,45.3,5,2
1,56.0,13.00000088657524,50.020000759267866,4,1
0,58.0,57.0,25.35,4,0
1,23.0,58.0,74.95,1,0
0,65.0,2.0,80.55,3,2
0,68.0,1.0,70.5,5,2
0,45.0,25.0,22.31,7,0
1,31.0,33.0,43.51,1,0
1,28.0,6.0,32.77,4,1
1,53.0,63.0,91.35,5,2
0,22.0,40.0,59.41,4,1
0,57.0,2.0000003698973976,49.220000591695126,2,1
1,29.0,2.0,87.15,4,0
1,56.0,63.0,19.15,6,2
1,38.0,6.0,19.55,6,2
0,41.0,33.0,87.91,8,0
1,33.0,9.0,85.35,5,2
0,58.0,10.0,91.1,5,2
1,33.0,69.0,69.11,4,0
0,29.0,15.0,48.63,4,1
0,40.0,11.0,20.0,6,2
1,27.0,36.000000669198734,58.56999918026631,8,1
1,55.0,17.0,80.85,5,2
1,36.0,53.0,24.6,6,2
0,44.0,51.0,99.34,9,0
0,43.0,67.0,72.04,2,0
0,50.0,62.0,80.25,1,0
1,22.0,45.0,77.56,7,0
1,45.0,32.0,83.16,9,0
1,54.0,61.0,100.95,4,0
1,61.0,49.0,55.82,2,1
1,55.0,54.0,118.17,2,0
0,68.0,17.0,54.15,2,1
0,55.0,6.0,49.45,5,2
0,59.0,13.0,52.8,8,1
1,44.0,57.0,44.9,8,1
1,61.0,11.0,23.15,3,2
1,54.0,9.0,28.07,2,1
0,68.0,58.0,63.26,2,0
1,30.0,60.0,109.45,0,2
1,65.0,43.0,105.88,7,0
0,47.0,50.0,48.6,8,1
1,18.0,22.0,58.43,8,0
0,37.0,17.0,35.44,8,1
0,58.0,30.99999801327847,40.69999897614243,4,1
1,35.0,1.0,68.5,5,2
0,22.0,7.0,51.34,4,1
1,22.0,17.0,42.18,2,1
1,50.0,48.000000586854824,63.29000067270201,4,1
0,64.0,25.0,80.65,9,0
0,20.0,29.0,76.07,2,0
0,32.0,25.0,72.64,2,0
1,45.0,11.0,20.55,6,2
1,18.0,48.0,63.24,4,0
1,70.0,18.0,28.83,8,1
1,47.0,28.0,58.89,4,1
1,62.0,23.0,94.83,1,0
0,54.0,5.0,44.14,4,1
0,50.0,8.0,97.35,9,0
0,42.0,2.0,20.1,0,2
0,47.0,57.0,59.69,4,1
0,66.0,35.0,100.25,5,2
1,70.0,68.0,42.17,2,0
0,56.0,53.0,60.1,4,1
0,24.0,25.0,48.25,5,2
0,56.0,24.0,58.14,8,1
0,68.0,9.0,50.16,8,1
0,68.0,69.0,113.67,4,0
0,33.0,43.0,49.6,8,0
1,62.0,5.0,50.49,1,0
1,55.0,58.0,20.3,3,2
1,22.0,12.0,39.28,2,1
0,27.0,61.0,62.02,1,0
0,25.0,56.0,109.6,6,2
0,23.0,37.000001335127344,40.15999965648662,4,1
0,43.0,43.0,80.45,5,2
0,62.0,26.0,99.34,2,0
1,68.0,56.0,72.32,1,0
1,48.0,10.0,41.28,4,1
0,49.0,25.0,47.87,2,1
0,21.0,49.0,101.55,3,2
0,37.0,8.0,73.68,8,0
1,69.0,13.0,73.69,8,0
0,37.0,41.0,60.85,2,1
1,61.0,39.0,67.85,1,0
1,53.0,4.0,20.7,3,2
0,67.0,70.0,84.7,6,2
1,40.0,42.0,101.75,5,2
1,38.0,52.0,66.45,9,0
1,40.0,39.0,25.45,0,2
1,47.0,54.0,74.55,0,2
1,27.0,38.0,89.63,8,0
0,20.0,38.0,102.43,2,0
0,64.0,1.0,55.3,6,2
0,38.0,56.00000052929991,48.25999947908091,4,1
1,51.0,13.0,48.32,4,1
1,62.0,42.0,56.38,4,0
0,41.0,29.999999757099435,33.360001474109616,4,1
